Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	s1 s2 s3
																																				class
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.388	2.692	2.300	1.158	0.567	0.415	0.208	0.112	0.064	0.096	0.000	0.000	0.002	0.005	0.007	0.007	0.005	0.002	0.000	0.000	s1
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.841	2.931	1.961	0.977	0.679	0.224	0.209	0.104	0.045	0.030	0.000	0.000	0.002	0.004	0.008	0.008	0.004	0.002	0.000	0.000	s1
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.226	2.889	1.654	1.391	0.601	0.107	0.082	0.025	0.016	0.008	0.000	0.000	0.003	0.004	0.007	0.009	0.005	0.001	0.000	0.000	s1
0.001	0.059	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.326	3.053	2.045	1.152	0.659	0.424	0.235	0.053	0.053	0.000	0.000	0.000	0.002	0.005	0.008	0.007	0.004	0.002	0.000	0.000	s1
0.001	0.061	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.436	3.113	1.917	1.284	0.721	0.308	0.123	0.044	0.035	0.018	0.000	0.000	0.003	0.004	0.006	0.006	0.006	0.003	0.000	0.000	s1
0.023	0.033	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.324	0.725	0.710	1.451	1.512	1.173	1.373	1.312	0.787	0.633	0.000	0.000	0.002	0.007	0.006	0.006	0.004	0.003	0.000	0.000	s2
0.018	0.038	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.399	0.937	1.322	2.052	1.336	1.474	0.868	0.840	0.468	0.303	0.000	0.000	0.002	0.004	0.008	0.008	0.003	0.002	0.000	0.000	s2
0.013	0.049	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.376	2.538	2.194	1.871	0.731	0.602	0.301	0.172	0.108	0.108	0.000	0.000	0.001	0.001	0.000	0.001	0.022	0.003	0.000	0.000	s2
0.018	0.041	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.358	0.701	0.810	1.059	0.903	0.981	1.495	2.056	1.199	0.436	0.000	0.000	0.000	0.002	0.015	0.009	0.002	0.000	0.000	0.000	s2
0.024	0.034	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.960	1.173	1.453	1.200	1.613	1.240	1.000	0.640	0.213	0.000	0.000	0.002	0.004	0.008	0.008	0.004	0.002	0.000	0.000	s2
0.020	0.030	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.365	0.842	1.445	1.795	0.954	1.543	1.220	1.136	0.463	0.238	0.000	0.000	0.003	0.004	0.006	0.007	0.005	0.003	0.000	0.000	s2
