Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	jhead jtail ohead otail
1.125	1.369	1.517	1.508	1.029	1.011	0.697	0.628	0.549	0.567	0.000	0.000	0.004	0.004	0.005	0.004	0.005	0.004	0.000	0.000	jtail
0.933	1.310	1.300	1.415	1.174	1.006	0.744	0.681	0.639	0.797	0.000	0.000	0.003	0.004	0.006	0.007	0.003	0.004	0.000	0.000	jtail
1.270	1.319	1.565	1.211	1.270	0.935	0.787	0.679	0.591	0.374	0.000	0.000	0.005	0.004	0.004	0.005	0.005	0.006	0.000	0.000	jtail
0.901	1.220	1.231	1.462	1.154	1.022	0.747	0.769	0.912	0.582	0.000	0.000	0.004	0.004	0.006	0.005	0.004	0.005	0.000	0.000	jtail
0.968	1.295	1.214	1.260	1.190	0.793	0.945	0.677	0.840	0.817	0.000	0.000	0.005	0.004	0.005	0.005	0.005	0.003	0.000	0.000	jtail
1.148	1.368	1.258	1.160	1.111	0.891	0.806	0.708	0.818	0.733	0.000	0.000	0.003	0.003	0.009	0.006	0.003	0.003	0.000	0.000	jtail
1.050	1.234	1.349	1.142	1.084	0.877	0.796	0.784	0.934	0.750	0.000	0.000	0.004	0.003	0.006	0.007	0.004	0.003	0.000	0.000	jtail
0.998	1.277	1.248	1.367	1.347	0.968	0.848	0.858	0.469	0.619	0.000	0.000	0.003	0.004	0.009	0.006	0.003	0.003	0.000	0.000	jtail
0.744	1.489	1.290	1.439	0.868	0.856	0.980	0.831	0.844	0.658	0.000	0.000	0.003	0.003	0.008	0.008	0.003	0.003	0.000	0.000	jtail
0.880	1.064	1.209	1.248	1.038	0.933	0.933	0.894	0.907	0.894	0.000	0.000	0.004	0.005	0.005	0.006	0.004	0.004	0.000	0.000	jtail
1.061	1.124	1.223	1.323	0.936	0.911	0.936	0.936	0.961	0.587	0.000	0.000	0.004	0.004	0.006	0.005	0.004	0.004	0.000	0.000	ohead
1.133	1.324	1.396	1.306	1.351	0.870	0.834	0.653	0.580	0.553	0.000	0.000	0.006	0.005	0.005	0.003	0.004	0.005	0.000	0.000	ohead
0.907	1.448	1.361	1.429	1.236	0.811	0.772	0.792	0.705	0.541	0.000	0.000	0.004	0.004	0.006	0.006	0.004	0.004	0.000	0.000	ohead
1.000	1.517	1.397	1.466	1.121	1.026	0.819	0.595	0.569	0.491	0.000	0.000	0.003	0.004	0.006	0.006	0.005	0.003	0.000	0.000	ohead
0.979	1.036	1.093	1.116	1.310	1.128	0.877	0.831	0.923	0.706	0.000	0.000	0.004	0.005	0.005	0.005	0.005	0.004	0.000	0.000	ohead
0.942	1.154	1.001	1.343	1.190	0.742	0.883	0.919	0.931	0.895	0.000	0.000	0.004	0.005	0.007	0.004	0.004	0.004	0.000	0.000	ohead
1.071	1.721	1.530	1.119	1.023	0.813	0.851	0.631	0.679	0.564	0.000	0.000	0.005	0.004	0.003	0.006	0.006	0.005	0.000	0.000	ohead
1.355	1.689	1.773	1.476	1.104	0.860	0.563	0.479	0.396	0.304	0.000	0.000	0.003	0.005	0.006	0.006	0.004	0.003	0.000	0.000	ohead
1.028	1.138	1.293	1.337	1.006	1.006	0.773	0.961	0.818	0.641	0.000	0.000	0.004	0.005	0.006	0.005	0.004	0.004	0.000	0.000	ohead
1.020	1.330	1.418	1.454	1.356	0.816	0.771	0.709	0.567	0.559	0.000	0.000	0.003	0.004	0.006	0.006	0.005	0.004	0.000	0.000	ohead
0.822	1.374	1.149	1.408	1.081	1.194	0.867	0.777	0.608	0.721	0.000	0.000	0.005	0.004	0.004	0.006	0.004	0.004	0.000	0.000	ohead
0.933	1.288	1.582	1.572	1.116	0.872	0.862	0.659	0.751	0.365	0.000	0.000	0.004	0.004	0.007	0.006	0.004	0.003	0.000	0.000	ohead
